id,label,transliter_kmu2010,name,is_uppercase,type,is_alternate,top,bottom,left,right,height,width,filename,btop,bbottom,bleft,bright
1,а,a,a,False,italic,False,69,130,67,132,61,65,glyphs/a-0.png,68.0,132.0,70.0,131.0
2,а,a,a,False,italic,False,64,134,62,136,70,74,glyphs/a-1.png,61.0,128.0,60.0,126.0
3,а,a,a,False,italic,False,66,132,69,130,66,61,glyphs/a-2.png,68.0,132.0,65.0,128.0
4,а,a,a,False,italic,False,64,134,69,130,70,61,glyphs/a-3.png,60.0,122.0,67.0,124.0
5,а,a,a,False,italic,False,68,131,66,133,63,67,glyphs/a-4.png,61.0,128.0,65.0,128.0
6,а,a,a,False,italic,False,68,131,73,126,63,53,glyphs/a-5.png,69.0,127.0,66.0,133.0
7,а,a,a,False,italic,False,62,137,69,130,75,61,glyphs/a-6.png,63.0,130.0,58.0,136.0
8,а,a,a,False,italic,False,67,132,70,129,65,59,glyphs/a-7.png,65.0,128.0,65.0,135.0
9,а,a,a,False,italic,False,66,132,64,135,66,71,glyphs/a-8.png,62.0,124.0,65.0,127.0
10,а,a,a,False,italic,False,65,134,65,134,69,69,glyphs/a-9.png,76.0,135.0,68.0,137.0
11,а,a,a,False,italic,False,67,131,64,134,64,70,glyphs/a-10.png,62.0,129.0,69.0,127.0
12,а,a,a,False,italic,False,65,134,70,129,69,59,glyphs/a-11.png,64.0,123.0,63.0,129.0
13,а,a,a,False,italic,False,62,137,63,136,75,73,glyphs/a-12.png,61.0,124.0,60.0,129.0
14,а,a,a,False,italic,False,70,128,54,145,58,91,glyphs/a-13.png,69.0,132.0,67.0,134.0
15,а,a,a,False,italic,False,65,134,63,135,69,72,glyphs/a-14.png,59.0,125.0,63.0,138.0
16,а,a,a,False,italic,False,59,140,65,133,81,68,glyphs/a-15.png,65.0,132.0,62.0,137.0
17,а,a,a,False,italic,False,58,140,51,148,82,97,glyphs/a-16.png,66.0,135.0,57.0,131.0
18,а,a,a,False,italic,False,61,137,61,138,76,77,glyphs/a-17.png,60.0,137.0,57.0,137.0
19,а,a,a,False,italic,False,57,142,48,150,85,102,glyphs/a-18.png,50.0,150.0,60.0,143.0
20,а,a,a,False,italic,False,52,147,64,135,95,71,glyphs/a-19.png,59.0,128.0,51.0,144.0
21,б,b,b,False,italic,False,70,128,52,147,58,95,glyphs/b-0.png,89.0,149.0,66.0,133.0
22,б,b,b,False,italic,False,61,138,62,137,77,75,glyphs/b-1.png,89.0,137.0,59.0,107.0
23,б,b,b,False,italic,False,72,126,44,154,54,110,glyphs/b-2.png,98.0,153.0,69.0,129.0
24,б,b,b,False,italic,False,42,156,41,158,114,117,glyphs/b-3.png,91.0,159.0,44.0,105.0
25,б,b,b,False,italic,False,71,128,52,147,57,95,glyphs/b-4.png,92.0,148.0,79.0,133.0
26,б,b,b,False,italic,False,64,135,52,146,71,94,glyphs/b-5.png,100.0,147.0,61.0,112.0
27,б,b,b,False,italic,False,69,130,49,149,61,100,glyphs/b-6.png,100.0,148.0,86.0,133.0
28,б,b,b,False,italic,False,56,142,42,156,86,114,glyphs/b-7.png,106.0,156.0,98.0,144.0
29,б,b,b,False,italic,False,48,151,49,149,103,100,glyphs/b-8.png,96.0,149.0,50.0,110.0
30,б,b,b,False,italic,False,47,151,66,132,104,66,glyphs/b-9.png,81.0,130.0,44.0,123.0
31,б,b,b,False,italic,False,72,126,26,172,54,146,glyphs/b-10.png,118.0,173.0,73.0,120.0
32,б,b,b,False,italic,False,76,122,41,157,46,116,glyphs/b-11.png,115.0,156.0,76.0,123.0
33,б,b,b,False,italic,False,71,127,48,151,56,103,glyphs/b-12.png,109.0,152.0,72.0,114.0
34,б,b,b,False,italic,False,60,139,49,149,79,100,glyphs/b-13.png,107.0,149.0,59.0,108.0
35,б,b,b,False,italic,False,69,130,38,161,61,123,glyphs/b-14.png,119.0,162.0,70.0,119.0
36,б,b,b,False,italic,False,57,141,48,150,84,102,glyphs/b-15.png,107.0,149.0,57.0,118.0
37,б,b,b,False,italic,False,51,148,56,143,97,87,glyphs/b-16.png,101.0,142.0,49.0,97.0
38,б,b,b,False,italic,False,59,139,43,155,80,112,glyphs/b-17.png,110.0,153.0,96.0,142.0
39,б,b,b,False,italic,False,71,128,42,157,57,115,glyphs/b-18.png,104.0,157.0,71.0,118.0
40,б,b,b,False,italic,False,65,134,42,156,69,114,glyphs/b-19.png,111.0,156.0,66.0,104.0
41,в,v,v,False,italic,False,73,125,43,155,52,112,glyphs/v-0.png,112.0,157.0,76.0,125.0
42,в,v,v,False,italic,False,71,127,46,152,56,106,glyphs/v-1.png,110.0,152.0,69.0,105.0
43,в,v,v,False,italic,False,70,129,47,151,59,104,glyphs/v-2.png,109.0,150.0,75.0,118.0
